lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6CA00634&tabIndex=1,S6CA00634,"AGBEDE, AKINYEMI",S,CA,0,DEM,OPEN,6775 SANTA MONICA BLVD #4-254,,LOS ANGELES,CA,90038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6MO00388&tabIndex=1,S6MO00388,"ALAM, RABBI MD",S,MO,0,,CHALLENGER,PO BOX 11614,,KANSAS CITY,MO,641389998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6CA00618&tabIndex=1,S6CA00618,"ALBERTSON, STEWART",S,CA,0,DEM,OPEN,555 TWIN DOLPHIN DRIVE SUITE 130,,REDWOOD CITY,CA,94065,"$15,300.00","$3,649.00","$18,949.00",,,"$2,000.00","$20,949.00",,"$10,000.00",,"$10,000.00",,,,,"$30,949.00","$15,221.00",,,,"$10,000.00",,"$10,000.00","$5,700.00",,,"$5,700.00",$27.00,"$30,949.00",,,"$15,250.00","$15,221.00","$1,098.00",,1/1/15,6/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4SC00232&tabIndex=1,S4SC00232,"ARMSTRONG, BRANDON CHRISTINA",S,SC,0,REP,CHALLENGER,107 A ROSE LANE,,MT PLEASANT,SC,29464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0NH00235&tabIndex=1,S0NH00235,"AYOTTE, KELLY A",S,NH,0,REP,INCUMBENT,PO BOX 937,,MANCHESTER,NH,31050937,"$1,986,516.00","$178,807.00","$2,165,323.00",,"$761,834.00",,"$2,927,157.00","$194,473.00",,,,$921.00,,,$14.00,"$3,122,568.00","$1,025,436.00",,,,,,,"$23,201.00",,"$7,000.00","$30,201.00",,"$1,055,637.00",,"$5,069,226.00","$2,896,956.00","$1,024,513.00","$53,315.00",,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6MO00370&tabIndex=1,S6MO00370,"BATSCHE, CHRISTOPHER MICHAEL",S,MO,0,REP,CHALLENGER,118 BILLY DR,,CASSVILLE,MO,65625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6NV00192&tabIndex=1,S6NV00192,"BEERS, ROBERT T",S,NV,0,REP,OPEN,50 S JONES BLVD #201,,LAS VEGAS,NV,89107,"$33,508.00","$25,730.00","$59,239.00",,,,"$59,239.00",,,,,,,,,"$59,239.00","$65,263.00",,,,,,,,,,,,"$65,263.00","$6,059.00",$35.00,"$59,239.00","$65,263.00","$5,000.00",,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6CA00766&tabIndex=1,S6CA00766,"BEITIKS, MIKELIS VALAINIS",S,CA,0,IND,,2462 47TH AVENUE,,SAN FRANCISCO,CA,94116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6GA00184&tabIndex=1,S6GA00184,"BENEDICT, LEE",S,GA,0,REP,CHALLENGER,PO BOX 16204,,AUGUSTA,GA,30919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0CO00211&tabIndex=1,S0CO00211,"BENNET, MICHAEL F",S,CO,0,DEM,INCUMBENT,2830 EAST 7TH AVENUE,,DENVER,CO,80206,"$3,758,010.00","$487,111.00","$4,245,124.00","$3,125.00","$1,271,587.00","$5,400.00","$5,525,238.00","$149,771.00",,,,"$22,909.00",,,"$1,555.00","$5,699,474.00","$1,498,590.00",,,,,,,"$25,256.00",,,"$25,256.00","$22,473.00","$1,546,322.00","$1,234,402.00","$5,387,554.00","$5,499,980.00","$1,475,681.00","$374,819.00",,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6OH00221&tabIndex=1,S6OH00221,"BICKELMEYER, MICHAEL",S,OH,0,REP,CHALLENGER,12540 DEERCREEK DRIVE APT 103,,NORTH ROYALTON,OH,44133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8NC00254&tabIndex=1,S8NC00254,"BLAKLEY, WILLIAM HOBERT",S,NC,0,REP,CHALLENGER,2309 PENNYPARK DR APT D,,GASTONIA,NC,280526068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0CT00177&tabIndex=1,S0CT00177,"BLUMENTHAL, RICHARD",S,CT,0,DEM,INCUMBENT,145 CLAPBOARD RIDGE ROAD,,GREENWHICH,CT,6831,"$2,368,921.00","$161,799.00","$2,530,722.00",,"$665,899.00","$18,674.00","$3,215,297.00","$28,500.00",,,,"$1,162.00",,,,"$3,244,960.00","$680,234.00",,,"$3,500.00","$49,586.00",,"$49,586.00","$25,138.00",,"-$1,750.00","$23,388.00","$15,937.00","$772,649.00","$661,111.00","$3,133,423.00","$3,191,908.00","$679,072.00",,,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0MO00183&tabIndex=1,S0MO00183,"BLUNT, ROY",S,MO,0,REP,INCUMBENT,PO BOX 10178,,COLUMBIA,MO,652054002,"$2,043,982.00","$78,448.00","$2,122,431.00","$46,800.00","$1,436,985.00",,"$3,606,216.00","$75,588.00",,,,$777.00,,,"$3,594.00","$3,686,180.00","$1,478,181.00",,,,,,,"$47,713.00",,"$1,140.00","$48,853.00","$1,300.00","$1,528,334.00","$2,213,935.00","$4,371,781.00","$3,557,362.00","$1,477,401.00",,,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0AR00150&tabIndex=1,S0AR00150,"BOOZMAN, JOHN",S,AR,0,REP,INCUMBENT,PO BOX 671,,ROGERS,AR,72757,"$652,735.00","$24,573.00","$677,308.00",,"$416,263.00",,"$1,093,571.00","$124,469.00",,,,$123.00,,,$35.00,"$1,218,198.00","$352,612.00",,,"$1,000.00",,,,"$6,100.00","$3,063.00",,"$9,163.00",,"$362,775.00","$268,602.00","$1,124,025.00","$1,084,408.00","$352,489.00",,,1/1/15,9/30/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6IL00326&tabIndex=1,S6IL00326,"BOYKIN, RICHARD R",S,IL,0,DEM,CHALLENGER,PO BOX 805901,,CHICAGO,IL,606804120,,,,,,,,,,,,,,,,,"$1,147.00",,,,,,,"$8,853.00",,,"$8,853.00",,"$10,000.00","$10,000.00",,,,,,7/1/15,10/15/15
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6IL00318&tabIndex=1,S6IL00318,"BROWN, JAMES P",S,IL,0,IND,CHALLENGER,1627 SANDY PASS,,LAKE ZURICH,IL,60047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4NC00089&tabIndex=1,S4NC00089,"BURR, RICHARD",S,NC,0,REP,INCUMBENT,POST OFFICE BOX 5928,,WINSTON-SALEM,NC,271135928,"$1,937,830.00","$168,743.00","$2,106,573.00",,"$1,590,450.00",,"$3,697,023.00","$1,126,860.00",,,,"$4,430.00",,,"$2,374.00","$4,830,689.00","$823,188.00",,,,,,,"$2,900.00",,,"$2,900.00","$5,100.00","$831,188.00","$747,123.00","$4,746,624.00","$3,694,123.00","$818,757.00",,,1/1/15,9/30/15
