CID,CRPName,Party,DistIDRunFor,FECCandID
N00036633,"Abraham, Ralph",R,LA05,H4LA05221
N00037014,"Achadjian, Katcho",R,CA24,H6CA24295
N00035451,"Adams, Alma",D,NC12,H4NC12100
N00036990,"Adams, Boyce",R,MS01,H5MS01067
N00036926,"Adcock, Sam",R,MS01,H5MS01034
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
N00033165,"Agbede, Akinyemi",D,CAS1,S6CA00634
N00033997,"Aguilar, Pete",D,CA31,H2CA31125
N00036917,"Albertson, Stewart",D,CAS1,S6CA00618
N00033720,"Allen, Richard W",R,GA12,H2GA12121
N00031938,"Amash, Justin",R,MI03,H0MI03126
N00031177,"Amodei, Mark",R,NV02,H2NV02395
N00037163,"Anderson, Stephanie",3,FL23,H6FL23048
N00036932,"Ash, James",R,CA53,H6CA53047
N00005293,"Ashford, Brad",D,NE02,H4NE02054
N00036354,"Ashworth, Matthew",R,OH08,H6OH08117
N00037020,"Atkinson, Jacquie",R,CA52,H6CA52114
N00030980,"Ayotte, Kelly",R,NHS1,S0NH00235
N00005736,"Babin, Brian",R,TX36,H6TX02079
N00037049,"Bacon, Donald John",R,NE02,H6NE02125
N00037185,"Banks, Jim",R,IN03,H6IN03229
N00037030,"Baricevic, Charles John",D,IL12,H6IL12099
N00033200,"Barkley, Mike",D,CA10,H2CA00096
N00025495,"Barletta, Lou",R,PA11,H2PA11098
N00031233,"Barr, Andy",R,KY06,H0KY06104
N00037019,"Barragan, Nanette",D,CA44,H6CA44103
N00005656,"Barton, Joe",R,TX06,H4TX06117
N00001883,"Barve, Kumar P",D,MD08,H6MD08291
N00031877,"Bass, Karen",D,CA37,H0CA33117
N00037160,"Batsche, Christopher",R,MOS1,S6MO00370
N00033904,"Beatty, Joyce",D,OH03,H2OH03125
N00009774,"Becerra, Xavier",D,CA34,H2CA30143
N00036936,"Beck, Kristin",D,MD05,H6MD05198
N00032702,"Becker, Francis X Jr",R,NY04,H0NY04099
N00034073,"Bedwell, Danny",L,MS01,H2MS01114
N00036211,"Beers, Bob",R,NVS2,S6NV00192
N00031934,"Benishek, Dan",R,MI01,H0MI01088
N00030608,"Bennet, Michael F",D,COS1,S0CO00211
N00037026,"Bensmihen, Joseph",R,FL22,H6FL22073
N00030717,"Bera, Ami",D,CA07,H0CA03078
N00037017,"Bernal, Benny",D,CA24,H6CA29203
N00036018,"Beyer, Don",D,VA08,H4VA08224
N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
N00036449,"Bishop, Mike",R,MI08,H4MI08135
N00025292,"Bishop, Rob",R,UT01,H2UT01094
N00002674,"Bishop, Sanford",D,GA02,H2GA02031
N00031539,"Black, Diane",R,TN06,H0TN06257
N00003105,"Blackburn, Marsha",R,TN07,H2TN06030
N00033744,"Blum, Rod",R,IA01,H2IA01055
N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
N00031685,"Blumenthal, Richard",D,CTS2,S0CT00177
N00005195,"Blunt, Roy",R,MOS1,S0MO00183
N00003675,"Boehner, John",R,OH08,H0OH08029
N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
N00035577,"Bonner, Jay Alan",R,FL20,H4FL20064
N00013873,"Boozman, John",R,ARS2,S0AR00150
N00024866,"Bordallo, Madeleine Z",D,GU00,H2GU00033
N00035420,"Bost, Mike",R,IL12,H4IL12060
N00026595,"Boustany, Charles W Jr",R,LA03,H4LA07029
N00035307,"Boyle, Brendan",D,PA13,H4PA13199
N00005883,"Brady, Kevin",R,TX08,H6TX08100
N00001619,"Brady, Robert A",D,PA01,H8PA01153
N00036013,"Brat, Dave",R,VA07,H4VA07143
N00036898,"Breu, Tom",D,WI01,H6WI01176
N00033532,"Bridenstine, James",R,OK01,H2OK01143
N00030910,"Brooks, Mo",R,AL05,H0AL05163
N00033495,"Brooks, Susan",R,IN05,H2IN05082
N00036999,"Brown, Anthony",D,MD04,H6MD04209
N00002713,"Brown, Corrine",D,FL05,H2FL03056
